,STUDY_ID,DAY,MONTH,YEAR,SAMPLE_DESC,PLOT,ID_SPECIES,LATITUDE,LONGITUDE,sum.allrawdata.ABUNDANCE,sum.allrawdata.BIOMASS,GENUS,SPECIES,GENUS_SPECIES
83,10,NA,NA,1984,47.400000_-95.120000_4_Control_Base_Small,4,607,47.4,-95.12,4,0,Corylus,cornuta,Corylus cornuta
84,10,NA,NA,1984,47.400000_-95.120000_4_Treefall_Base_Medium,4,135,47.4,-95.12,1,0,Amelanchier,laevis,Amelanchier laevis
85,10,NA,NA,1984,47.400000_-95.120000_71_Treefall_0_Medium,71,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
86,10,NA,NA,1984,47.400000_-95.120000_71_Treefall_0_Medium,71,23,47.4,-95.12,4,0,Acer,saccharum,Acer saccharum
87,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_Base_Small,38,22,47.4,-95.12,3,0,Acer,rubrum,Acer rubrum
88,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_Base_Small,38,23,47.4,-95.12,58,0,Acer,saccharum,Acer saccharum
89,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,1912,47.4,-95.12,1,0,Populus,sp,Populus sp
90,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,2068,47.4,-95.12,4,0,Rubus,flagellaris,Rubus flagellaris
91,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,22,47.4,-95.12,18,0,Acer,rubrum,Acer rubrum
92,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Medium,39,23,47.4,-95.12,7,0,Acer,saccharum,Acer saccharum
93,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Medium,39,2427,47.4,-95.12,1,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
94,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,24,47.4,-95.12,1,0,Acer,spicatum,Acer spicatum
95,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Medium,39,607,47.4,-95.12,9,0,Corylus,cornuta,Corylus cornuta
96,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Tall,1,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
97,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Small,39,22,47.4,-95.12,2,0,Acer,rubrum,Acer rubrum
98,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Small,39,23,47.4,-95.12,4,0,Acer,saccharum,Acer saccharum
99,10,NA,NA,1992,47.400000_-95.120000_39_Control_0_Small,39,2427,47.4,-95.12,11,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
100,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_0_Small,47,2345,47.4,-95.12,1,0,Tilia,americana,Tilia americana
101,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_0_Small,47,23,47.4,-95.12,86,0,Acer,saccharum,Acer saccharum
102,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_0_Small,47,2427,47.4,-95.12,6,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
103,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_0_Small,47,24,47.4,-95.12,4,0,Acer,spicatum,Acer spicatum
104,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_0_Small,47,607,47.4,-95.12,2,0,Corylus,cornuta,Corylus cornuta
105,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Medium,47,1912,47.4,-95.12,1,0,Populus,sp,Populus sp
106,10,NA,NA,1992,47.400000_-95.120000_38_Control_0_Small,38,2026,47.4,-95.12,2,0,Quercus,rubra,Quercus rubra
107,10,NA,NA,1992,47.400000_-95.120000_38_Control_0_Small,38,22,47.4,-95.12,6,0,Acer,rubrum,Acer rubrum
108,10,NA,NA,1992,47.400000_-95.120000_38_Control_0_Small,38,23,47.4,-95.12,109,0,Acer,saccharum,Acer saccharum
109,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Medium,47,607,47.4,-95.12,15,0,Corylus,cornuta,Corylus cornuta
110,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Small,47,1474,47.4,-95.12,1,0,Lonicera,canadensis,Lonicera canadensis
111,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Small,47,22,47.4,-95.12,12,0,Acer,rubrum,Acer rubrum
112,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Small,47,23,47.4,-95.12,34,0,Acer,saccharum,Acer saccharum
113,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Small,47,2405,47.4,-95.12,1,0,Vaccinium,angustifolium,Vaccinium angustifolium
114,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Small,47,607,47.4,-95.12,8,0,Corylus,cornuta,Corylus cornuta
115,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Tall,47,23,47.4,-95.12,1,0,Acer,saccharum,Acer saccharum
116,10,NA,NA,1984,47.400000_-95.120000_47_Treefall_Base_Tall,47,607,47.4,-95.12,4,0,Corylus,cornuta,Corylus cornuta
117,10,NA,NA,1992,47.400000_-95.120000_38_Control_Base_Small,38,607,47.4,-95.12,1,0,Corylus,cornuta,Corylus cornuta
118,10,NA,NA,1992,47.400000_-95.120000_38_Control_Base_Tall,38,1744,47.4,-95.12,2,0,Ostrya,virginiana,Ostrya virginiana
119,10,NA,NA,1992,47.400000_-95.120000_38_Control_Base_Tall,38,23,47.4,-95.12,1,0,Acer,saccharum,Acer saccharum
120,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_0_Medium,38,1912,47.4,-95.12,2,0,Populus,sp,Populus sp
121,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_0_Small,38,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
122,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_0_Small,38,2026,47.4,-95.12,1,0,Quercus,rubra,Quercus rubra
123,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_0_Small,38,22,47.4,-95.12,7,0,Acer,rubrum,Acer rubrum
124,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_0_Small,38,23,47.4,-95.12,75,0,Acer,saccharum,Acer saccharum
125,10,NA,NA,1992,47.400000_-95.120000_38_Treefall_0_Tall,38,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
126,10,NA,NA,1984,47.400000_-95.120000_9_Control_0_Small,9,607,47.4,-95.12,12,0,Corylus,cornuta,Corylus cornuta
127,10,NA,NA,1984,47.400000_-95.120000_9_Control_0_Tall,9,607,47.4,-95.12,3,0,Corylus,cornuta,Corylus cornuta
128,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Medium,9,135,47.4,-95.12,1,0,Amelanchier,laevis,Amelanchier laevis
129,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Medium,9,2069,47.4,-95.12,6,0,Rubus,idaeus,Rubus idaeus
130,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Medium,9,607,47.4,-95.12,36,0,Corylus,cornuta,Corylus cornuta
131,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Small,9,135,47.4,-95.12,2,0,Amelanchier,laevis,Amelanchier laevis
132,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Small,9,2069,47.4,-95.12,3,0,Rubus,idaeus,Rubus idaeus
133,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Small,9,22,47.4,-95.12,1,0,Acer,rubrum,Acer rubrum
134,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Small,9,2405,47.4,-95.12,4,0,Vaccinium,angustifolium,Vaccinium angustifolium
135,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,605,47.4,-95.12,1,0,Cornus,rugosa,Cornus rugosa
136,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Small,9,710,47.4,-95.12,3,0,Diervilla,lonicera,Diervilla lonicera
137,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Medium,9,2069,47.4,-95.12,5,0,Rubus,idaeus,Rubus idaeus
138,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Medium,9,22,47.4,-95.12,1,0,Acer,rubrum,Acer rubrum
139,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Medium,9,607,47.4,-95.12,15,0,Corylus,cornuta,Corylus cornuta
140,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Small,9,22,47.4,-95.12,5,0,Acer,rubrum,Acer rubrum
141,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Small,9,23,47.4,-95.12,1,0,Acer,saccharum,Acer saccharum
142,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_0_Small,9,607,47.4,-95.12,3,0,Corylus,cornuta,Corylus cornuta
143,10,NA,NA,1984,47.400000_-95.120000_37_Control_0_Small,37,2405,47.4,-95.12,5,0,Vaccinium,angustifolium,Vaccinium angustifolium
144,10,NA,NA,1984,47.400000_-95.120000_37_Control_0_Small,37,2427,47.4,-95.12,2,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
145,10,NA,NA,1984,47.400000_-95.120000_37_Control_0_Tall,37,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
146,10,NA,NA,1984,47.400000_-95.120000_37_Control_Base_Medium,37,1959,47.4,-95.12,3,0,Prunus,virginiana,Prunus virginiana
147,10,NA,NA,1984,47.400000_-95.120000_37_Control_Base_Medium,37,23,47.4,-95.12,4,0,Acer,saccharum,Acer saccharum
148,10,NA,NA,1984,47.400000_-95.120000_37_Control_Base_Medium,37,607,47.4,-95.12,4,0,Corylus,cornuta,Corylus cornuta
149,10,NA,NA,1984,47.400000_-95.120000_37_Control_Base_Small,37,1959,47.4,-95.12,4,0,Prunus,virginiana,Prunus virginiana
150,10,NA,NA,1984,47.400000_-95.120000_37_Control_Base_Small,37,22,47.4,-95.12,2,0,Acer,rubrum,Acer rubrum
151,10,NA,NA,1984,47.400000_-95.120000_37_Control_Base_Small,37,23,47.4,-95.12,19,0,Acer,saccharum,Acer saccharum
152,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Tall,9,2427,47.4,-95.12,4,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
153,10,NA,NA,1984,47.400000_-95.120000_9_Treefall_Base_Tall,9,607,47.4,-95.12,5,0,Corylus,cornuta,Corylus cornuta
154,10,NA,NA,1992,47.400000_-95.120000_12_Control_0_Medium,12,23,47.4,-95.12,3,0,Acer,saccharum,Acer saccharum
155,10,NA,NA,1992,47.400000_-95.120000_12_Control_0_Medium,12,607,47.4,-95.12,5,0,Corylus,cornuta,Corylus cornuta
156,10,NA,NA,1992,47.400000_-95.120000_12_Control_0_Small,12,1912,47.4,-95.12,2,0,Populus,sp,Populus sp
157,10,NA,NA,1992,47.400000_-95.120000_12_Control_0_Small,12,22,47.4,-95.12,8,0,Acer,rubrum,Acer rubrum
158,10,NA,NA,1992,47.400000_-95.120000_12_Control_0_Small,12,23,47.4,-95.12,9,0,Acer,saccharum,Acer saccharum
159,10,NA,NA,1992,47.400000_-95.120000_12_Control_0_Small,12,607,47.4,-95.12,7,0,Corylus,cornuta,Corylus cornuta
160,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Medium,12,22,47.4,-95.12,2,0,Acer,rubrum,Acer rubrum
161,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Medium,12,23,47.4,-95.12,8,0,Acer,saccharum,Acer saccharum
162,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Medium,12,24,47.4,-95.12,1,0,Acer,spicatum,Acer spicatum
163,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Medium,12,607,47.4,-95.12,3,0,Corylus,cornuta,Corylus cornuta
164,10,NA,NA,1984,47.400000_-95.120000_37_Treefall_Base_Small,37,2354,47.4,-95.12,1,0,Toxicodendron,radicans,Toxicodendron radicans
165,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Small,12,22,47.4,-95.12,9,0,Acer,rubrum,Acer rubrum
166,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Small,12,23,47.4,-95.12,14,0,Acer,saccharum,Acer saccharum
167,10,NA,NA,1992,47.400000_-95.120000_12_Treefall_0_Small,12,24,47.4,-95.12,3,0,Acer,spicatum,Acer spicatum
168,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Medium,1,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
169,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Medium,1,23,47.4,-95.12,3,0,Acer,saccharum,Acer saccharum
170,10,NA,NA,1984,47.400000_-95.120000_46_Control_Base_Small,46,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
171,10,NA,NA,1984,47.400000_-95.120000_46_Control_Base_Small,46,2068,47.4,-95.12,3,0,Rubus,flagellaris,Rubus flagellaris
172,10,NA,NA,1984,47.400000_-95.120000_46_Control_Base_Small,46,22,47.4,-95.12,4,0,Acer,rubrum,Acer rubrum
173,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,23,47.4,-95.12,3,0,Acer,saccharum,Acer saccharum
174,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Small,1,2427,47.4,-95.12,3,0,Viburnum,rafinesquianum,Viburnum rafinesquianum
175,10,NA,NA,1984,47.400000_-95.120000_9_Control_Base_Small,9,607,47.4,-95.12,6,0,Corylus,cornuta,Corylus cornuta
176,10,NA,NA,1984,47.400000_-95.120000_46_Control_Base_Tall,46,24,47.4,-95.12,1,0,Acer,spicatum,Acer spicatum
177,10,NA,NA,1984,47.400000_-95.120000_46_Treefall_0_Medium,46,24,47.4,-95.12,1,0,Acer,spicatum,Acer spicatum
178,10,NA,NA,1992,47.400000_-95.120000_1_Control_0_Tall,1,22,47.4,-95.12,1,0,Acer,rubrum,Acer rubrum
179,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Medium,1,24,47.4,-95.12,9,0,Acer,spicatum,Acer spicatum
180,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Medium,1,607,47.4,-95.12,5,0,Corylus,cornuta,Corylus cornuta
181,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Small,1,1744,47.4,-95.12,1,0,Ostrya,virginiana,Ostrya virginiana
182,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Small,1,1959,47.4,-95.12,1,0,Prunus,virginiana,Prunus virginiana
183,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Small,1,22,47.4,-95.12,3,0,Acer,rubrum,Acer rubrum
184,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Small,1,23,47.4,-95.12,1,0,Acer,saccharum,Acer saccharum
185,10,NA,NA,1992,47.400000_-95.120000_1_Control_Base_Small,1,24,47.4,-95.12,13,0,Acer,spicatum,Acer spicatum
186,10,NA,NA,1984,47.400000_-95.120000_38_Treefall_Base_Medium,38,1744,47.4,-95.12,2,0,Ostrya,virginiana,Ostrya virginiana
187,10,NA,NA,1984,47.400000_-95.120000_38_Treefall_Base_Medium,38,23,47.4,-95.12,13,0,Acer,saccharum,Acer saccharum
188,10,NA,NA,1984,47.400000_-95.120000_38_Treefall_Base_Small,38,2026,47.4,-95.12,1,0,Quercus,rubra,Quercus rubra
189,10,NA,NA,1984,47.400000_-95.120000_38_Treefall_Base_Small,38,22,47.4,-95.12,3,0,Acer,rubrum,Acer rubrum
190,10,NA,NA,1992,47.400000_-95.120000_36_Treefall_Base_Small,36,1912,47.4,-95.12,1,0,Populus,sp,Populus sp
